osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"899503239",ways_poly,,,,parking,,,,,,,,106.912153853831,47.9321045926455,POLYGON
"1090992588",ways_poly,,,,parking,,,,,,,,106.911688159341,47.9267950128365,POLYGON
"242423498",ways_poly,,,,parking,,,,surface,,,,106.908912130353,47.9259582582631,POLYGON
"388177663",ways_poly,,,,parking,,,,,,,,106.88316005,47.91006145,POLYGON
"868654057",ways_poly,,,,parking,,,,,,,,106.88634158719,47.9026630116666,POLYGON
"288148091",ways_poly,,,,parking,,,,,,,,106.929994052745,47.9011397415236,POLYGON
"77747320",ways_poly,,,train_station,,,,,,,,Улаанбаатар төмөр замын буудал,106.883920914063,47.9084996593355,POLYGON
"386515992",ways_poly,,,,parking,,,,,,,,106.846041999697,47.9134900238465,POLYGON
"865939562",ways_poly,,,,parking,,,,,,,,106.843314259749,47.9161250870291,POLYGON
"864504211",ways_poly,,,,parking,,,,,,,,106.818392741114,47.9176499688928,POLYGON
"864032500",ways_poly,,,,parking,,,,,,,,106.817180562582,47.920443777438,POLYGON
"865007214",ways_poly,,,,parking,,,,,,,,106.824323166886,47.9109340636576,POLYGON
"863727859",ways_poly,,,,parking,,,,,,,,106.81440432155,47.9220080166849,POLYGON
"387158211",ways_poly,,,,parking,,,,,,,,106.859417780732,47.9157541111361,POLYGON
"865612351",ways_poly,,,,parking,,,,,,,,106.840124711197,47.9109956537054,POLYGON
"866329645",ways_poly,,,,parking,,,,,,,,106.8554668882,47.9123750944607,POLYGON
"158628959",ways_poly,,,,parking,,,,surface,,,,106.910765,47.88105215,POLYGON
"241405989",ways_poly,,,,parking,,,,,,,,106.901150652157,47.8986590692096,POLYGON
"1180001127",ways_poly,,,,parking,,,,,,,,106.855008777159,47.8786615737817,POLYGON
"158629002",ways_poly,,,,parking,,,,surface,,,,106.920057972382,47.8808611485338,POLYGON
"863016819",ways_poly,,,,parking,,,,,,,,106.97230522923,47.9129503552955,POLYGON
"865616085",ways_poly,,,,parking,,,,,,,,106.837746213611,47.9120396427424,POLYGON
"386943709",ways_poly,,,,parking,,,,,,,,106.955183676548,47.9205393583893,POLYGON
"512880128",ways_poly,,,,parking,,,,,,,,106.852581084413,47.8823782561369,POLYGON
"1002085200",ways_poly,,,,parking,,,,,,,,106.833720114514,47.8621888009576,POLYGON
"1058975837",ways_poly,,,,parking,,,,,,,,106.804000981236,47.8660110395802,POLYGON
"871210051",ways_poly,,,,parking,,,,,,,,107.042252195891,47.8785190778018,POLYGON
"1262092176",ways_poly,,,,parking,,,,,,,,106.904792632903,47.862640316693,POLYGON
"385571690",ways_poly,,,,parking,,,,,,,,106.908326803237,47.9263116777989,POLYGON
"242184961",ways_poly,,,,parking,,,,surface,,,,106.90245701336,47.9228278759812,POLYGON
"242306877",ways_poly,,,,parking,,,,surface,,,,106.915030156943,47.9280031235367,POLYGON
"242421416",ways_poly,,,,parking,,,,surface,,,,106.916933381901,47.9255251047369,POLYGON
"1090995388",ways_poly,,,,parking,,,,surface,,,,106.912266268255,47.9270550277702,POLYGON
"386900000",ways_poly,,,,parking,,,,,,,,106.90572875,47.9141834,POLYGON
"863729926",ways_poly,,,,parking,,,,,,,,106.81551965804,47.9216977756294,POLYGON
"158508836",ways_poly,,,,parking,,,,,,,,106.934746847303,47.9218463135057,POLYGON
"863466273",ways_poly,,,,parking,,,,,,,,106.925268276472,47.9172100355382,POLYGON
"242184962",ways_poly,,,,parking,,,,surface,,,,106.903238959242,47.9227973019808,POLYGON
"385849837",ways_poly,,,,parking,,,,,,,,106.902434079218,47.9256249452579,POLYGON
"386121188",ways_poly,,,,parking,,,,,,,,106.88230975133,47.9230813706725,POLYGON
"387056712",ways_poly,,,,parking,,,,underground,,,,106.984393523345,47.9229800431053,POLYGON
"860328117",ways_poly,,,,parking,,,,,,,,106.976615889182,47.9209736177467,POLYGON
"387056703",ways_poly,,,,parking,,,,,,,,106.985689941744,47.9194280443894,POLYGON
"859575852",ways_poly,,,,parking,,,,,,,,106.987007147314,47.9186377363897,POLYGON
"864107287",ways_poly,,,,parking,,,,,,,,107.021113199445,47.9179819787143,POLYGON
"242422875",ways_poly,,,,parking,,,,surface,,,,106.911172892437,47.9271609609041,POLYGON
"1253166161",ways_poly,,,,parking,,,,,,,,106.938445634395,47.9201634497849,POLYGON
"386678007",ways_poly,,,,parking,,,,,,,,106.911711758319,47.9191603778646,POLYGON
"242311165",ways_poly,,,,parking,,,,surface,,,,106.91260345,47.92128835,POLYGON
"385425595",ways_poly,,,,parking,,,,,,,,106.905539841728,47.9231221948332,POLYGON
"385425623",ways_poly,,,,parking,,,,,,,,106.906164188751,47.9231773565784,POLYGON
"242426513",ways_poly,,,,parking,,,,surface,,,,106.923647041853,47.9254402215253,POLYGON
"385424476",ways_poly,,,,parking,,,,,,,,106.910207119656,47.9263118555804,POLYGON
"385846581",ways_poly,,,,parking,,,,,,,,106.903787008456,47.9234124768176,POLYGON
"1059612682",ways_poly,,,,parking,,,,,,,,106.907468561203,47.920680382013,POLYGON
"385571069",ways_poly,,,,parking,,,,,,,,106.907010442556,47.9258474782178,POLYGON
"242184960",ways_poly,,,,parking,,,,surface,,,,106.903707518367,47.9221828702819,POLYGON
"385571256",ways_poly,,,,parking,,,,,,,,106.904512866721,47.9250806019018,POLYGON
