station_name,station_id
Монелийн 43,000001544
Монелийн 38,000000441
430-р худаг,000000762
Цэлмэг хүнс дэлгүүр,000000764
Фунтик,000000766
Капитрон банк,000000768
Цайз зах,000000424
72-р хотхон,000000427
Алдар спорт хороо,000000584
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Жуковын музей,000000374
Сансарын үйлчилгээний төв,000000414
Цагаан давааны задгай,000000770
Монелийн 43,000001544
Гадна тойруу 1,000001547
Гадна тойруу 2,000001549
Гадна тойруу 3,000001551
Гадна тойруу 4,000001560
21-р хороо завсар,000000364
Рашааны гудамж 1,000001555
Рашааны гудамж 2,000001557
Рашааны гудамж 3,000001559
17-р сургууль,000000269
32-ын тойрог,000000267
9-р дэлгүүр,000000302
Жоби дэлгүүр,000000303
100 айл,000000305
Сансар ШТС,000000417
Сансарын үйлчилгээний төв,000000413
ШАР ХАДНЫ ЭЦЭС,000000437
Да хүрээ зах,000000436
Цахлай,000000434
Эрдэнэтолгой,000000431
16-р хороолол,000000429
72-р хотхон,000000427
Алдар спорт хороо,000000584
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Жуковын музей,000000374
Зүүн 4 зам,000000372
Хөдөлмөрийн яам,000000370
МУБИС,000000585
Сүхбаатарын талбай,100000131
Мөнгөн завьяа,000000193
Энхтайван найрамдлын ордон,100000010
Баруун 4 зам,000000155
Макс Малл,000001154
Модны 2,000000159
Москва ресторан,000000182
Өргөө кино театр,000000165
"3,4-р хороололын эцэс",000000164
БАЯНХОШУУ,000000117
Жанцан дэлгүүр,000000114
112-ын Буудал,000000641
Хөтөл,000000643
Цэгээн нуур,000001295
Колонкийн буудал,000000140
Шинэ буудал,000000142
626-р худаг,000001436
Зурагт шинэ эцэс,000000195
Зурагт хуучин эцэс,000000197
МҮИС,000000199
МҮИС,000000177
Москва ресторан,000000182
Өргөө кино театр,000000165
"3,4-р хороололын эцэс",000000164
Гэмтлийн эмнэлэг,000000162
Дэнж,000001396
1-р Байр,000000745
11-р Байр,000000746
23-р байр,000000017
34-р байр,000000013
БАЯНХОШУУ,000000117
Жанцан дэлгүүр,000000116
Баянхошуу завсар,000000625
Баян хошуу тойрог,000000113
Баян хошуу хуучин эцэс,000000105
7-р хороо,000000103
Цэргийн анги,000000101
Хилчин хотхон,000000649
Шинэ давхар,000000099
Өндөр настан,000000097
Давхар дэлгүүр,000000056
Сонгино хайрхан дүүрэг,000000054
21-р хороолол,000000052
Цахилгаан тээвэр,000000050
Геологийн төв лаборатори,000000048
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000000009
Вокзал,000000178
Богд ар хороолол,000001404
25-р эмийн сан,000000152
Эрдмийн ундраа цогцолбор,000000186
Гэмтлийн эмнэлэг,000000184
Гэмтлийн эмнэлэг,000000161
Дүүхээ дэлгүүр,000000163
11-р байр,000000166
Парадокс,000000167
Сентоза,000000168
Гандан,000000176
Цагаан байр,000000260
Дэнжийн 1000-ын 1-р зогсоол,000000215
Дэнжийн 1000-ын 2-р зогсоол,000000214
Дэнжийн 1000-ын 3-р зогсоол,000000212
Дэнжийн 1000-ын 4-р зогсоол,000000210
Булгын 6-р гудамж,000000208
Дэнжийн 1000-ын 5-р зогсоол,000000205
Дэнжийн 1000-ын 6-р зогсоол,000001439
Дэнжийн 1000-ын эцэс,000000204
Вокзал,000000671
Барс худалдааны төв,000000180
Тээврийн товчоо,000000179
Элба дэлгүүр,000000248
Бөмбөгөр худалдааны төв,000000250
Баянбогд төв,000000252
6-р Хороолол,000000254
Цагаан байр,000000260
Дэнжийн 1000-ын 1-р зогсоол,000000215
Дэнжийн 1000-ын 2-р зогсоол,000000214
Дэнжийн 1000-ын 3-р зогсоол,000000212
Дэнжийн 1000-ын 4-р зогсоол,000000210
Булгын 6-р гудамж,000000208
Дэнжийн 1000-ын 5-р зогсоол,000000205
Дэнжийн 1000-ын 6-р зогсоол,000001439
Дэнжийн 1000-ын эцэс,000000678
