station_id,latitude,longitude
000000447,47.9117,107.04338
000001480,47.87412,107.11324
000000460,47.92834,107.16234
000000459,47.92906,107.1538
000000462,47.92715,107.14331
000000791,47.92363,107.13299
000000789,47.92063,107.12466
000000712,47.91799,107.11526
000000787,47.9164,107.10253
000000455,47.91584,107.092
000000785,47.91589,107.08337
000000683,47.90508,106.99638
000000684,47.90687,107.00387
000000404,47.9128,106.93656
000000309,47.91258,106.92738
