id,trip_id,sequence_number,start_bus_stop,end_bus_stop
698,39,11,000000056,000000054
699,39,12,000000054,000000052
700,39,13,000000052,000000050
701,39,14,000000050,000000048
702,39,15,000000048,000000018
703,39,16,000000018,000000011
704,39,17,000000011,000000009
705,40,1,000000178,000001404
706,40,2,000001404,000000152
707,40,3,000000152,000000186
708,40,4,000000186,000000184
709,40,5,000000184,000000161
710,40,6,000000161,000000163
711,40,7,000000163,000000166
712,40,8,000000166,000000167
713,40,9,000000167,000000168
714,40,10,000000168,000000176
715,40,11,000000176,000000260
716,40,12,000000260,000000215
717,40,13,000000215,000000214
718,40,14,000000214,000000212
719,40,15,000000212,000000210
720,40,16,000000210,000000208
721,40,17,000000208,000000205
722,40,18,000000205,000001439
723,40,19,000001439,000000204
724,41,1,000000671,000000180
725,41,2,000000180,000000179
726,41,3,000000179,000000248
727,41,4,000000248,000000250
728,41,5,000000250,000000252
729,41,6,000000252,000000254
730,41,7,000000254,000000260
731,41,8,000000260,000000215
732,41,9,000000215,000000214
733,41,10,000000214,000000212
734,41,11,000000212,000000210
735,41,12,000000210,000000208
736,41,13,000000208,000000205
737,41,14,000000205,000001439
738,41,15,000001439,000000678
739,42,1,000000335,000001296
740,42,2,000001296,000000333
741,42,3,000000333,000000331
742,42,4,000000331,000001258
743,42,5,000001258,000001256
744,42,6,000001256,000001254
745,42,7,000001254,000000314
746,42,8,000000314,000000241
747,42,9,000000241,000000243
748,42,10,000000243,000001444
749,42,11,000001444,000000245
750,42,12,000000245,000000247
751,42,13,000000247,000000269
752,42,14,000000269,000000267
753,42,15,000000267,000000265
754,42,16,000000265,000000263
755,42,17,000000263,000000261
756,42,18,000000261,000000255
757,42,19,000000255,000000253
758,42,20,000000253,000000251
759,42,21,000000251,000000155
760,42,22,000000155,000000153
761,42,23,000000153,000000152
762,42,24,000000152,000000150
763,42,25,000000150,000000148
764,42,26,000000148,000000005
765,42,27,000000005,000000007
766,42,28,000000007,000000008
767,42,29,000000008,000000010
768,42,30,000000010,000000019
769,42,31,000000019,000000047
770,42,32,000000047,000000049
771,42,33,000000049,000000051
772,42,34,000000051,000000061
773,43,1,000000230,000000229
774,43,2,000000229,000000227
775,43,3,000000227,000000232
776,43,4,000000232,000000225
777,43,5,000000225,000000235
778,43,6,000000235,000000234
779,43,7,000000234,000000238
780,43,8,000000238,000000665
781,43,9,000000665,000000241
782,43,10,000000241,000000243
783,43,11,000000243,000001444
784,43,12,000001444,000000245
785,43,13,000000245,000000247
786,43,14,000000247,000000269
787,43,15,000000269,000000267
788,43,16,000000267,000000300
789,43,17,000000300,000000294
790,43,18,000000294,000000201
791,43,19,000000201,000000203
792,44,1,000000163,000000166
793,44,2,000000166,000000167
794,44,3,000000167,000000168
795,44,4,000000168,000000176
796,44,5,000000176,000000260
797,44,6,000000260,000000262
798,44,7,000000262,000000264
799,44,8,000000264,000000266
800,44,9,000000266,000000268
801,44,10,000000268,000000246
802,44,11,000000246,000000244
803,44,12,000000244,000001443
804,44,13,000001443,000000242
805,44,14,000000242,000000239
806,44,15,000000239,000000664
807,44,16,000000664,000000237
808,44,17,000000237,000000233
809,44,18,000000233,000000236
810,44,19,000000236,000000226
811,44,20,000000226,000000231
812,44,21,000000231,000001468
813,44,22,000001468,000000228
814,44,23,000000228,000000230
815,45,1,000000505,000000507
816,45,2,000000507,000000509
817,45,3,000000509,000001531
818,45,4,000001531,000000512
819,45,5,000000512,000000510
820,45,6,000000510,000000138
821,45,7,000000138,000001285
822,45,8,000001285,000000514
823,45,9,000000514,000001287
824,45,10,000001287,000001289
825,45,11,000001289,000001291
826,45,12,000001291,000000046
827,45,13,000000046,000001467
828,45,14,000001467,000001303
829,45,15,000001303,000001301
830,45,16,000001301,000001191
831,45,17,000001191,000001189
832,45,18,000001189,000001187
833,45,19,000001187,000001470
834,45,20,000001470,000001186
835,45,21,000001186,000000635
836,45,22,000000635,000000145
837,45,23,000000145,000000161
838,45,24,000000161,000000163
839,45,25,000000163,000000166
840,45,26,000000166,000000167
841,45,27,000000167,000000168
842,45,28,000000168,000000176
843,45,29,000000176,000000177
844,46,1,000000706,000000704
845,46,2,000000704,000000591
846,46,3,000000591,000000479
847,46,4,000000479,000000488
848,46,5,000000488,000001162
849,46,6,000001162,000001164
850,46,7,000001164,000000481
851,46,8,000000481,000000485
852,46,9,000000485,000000487
853,46,10,000000487,000000483
854,46,11,000000483,000001431
855,46,12,000001431,000000306
856,46,13,000000306,000000270
857,46,14,000000270,000000257
858,46,15,000000257,000000177
859,46,16,000000177,000000169
860,46,17,000000169,000000170
861,46,18,000000170,000000171
862,46,19,000000171,000000188
863,46,20,000000188,000000163
864,47,1,000000706,000000704
865,47,2,000000704,000000591
866,47,3,000000591,000000479
867,47,4,000000479,000000488
868,47,5,000000488,000001162
869,47,6,000001162,000001164
870,47,7,000001164,000000481
871,47,8,000000481,000000485
872,47,9,000000485,000000487
873,47,10,000000487,000000483
874,47,11,000000483,000001431
875,47,12,000001431,000000417
876,47,13,000000417,000000413
877,47,14,000000413,000000373
878,47,15,000000373,000000375
879,47,16,000000375,000000377
880,47,17,000000377,000000379
881,47,18,000000379,000001401
882,47,19,000001401,000000381
883,47,20,000000381,000000383
884,47,21,000000383,000000385
885,47,22,000000385,000000387
886,47,23,000000387,000000709
887,47,24,000000709,000000710
888,47,25,000000710,000000682
889,48,1,000001140,000000644
890,48,2,000000644,000000794
891,48,3,000000794,100000045
892,48,4,100000045,000000803
893,48,5,000000803,000000680
894,48,6,000000680,000000801
895,48,7,000000801,000000321
896,48,8,000000321,000000799
897,48,9,000000799,000000316
898,48,10,000000316,000000314
899,48,11,000000314,000000241
900,48,12,000000241,000000243
901,48,13,000000243,000001444
902,48,14,000001444,000000245
903,48,15,000000245,000000247
904,48,16,000000247,000000269
905,48,17,000000269,000000267
906,48,18,000000267,000000265
907,48,19,000000265,000000263
908,48,20,000000263,000000261
909,48,21,000000261,000000255
910,48,22,000000255,000000253
911,48,23,000000253,000000251
912,48,24,000000251,000000804
913,48,25,000000804,000000189
914,48,26,000000189,000000178
915,49,1,000001179,000001177
916,49,2,000001177,000001175
917,49,3,000001175,000001173
918,49,4,000001173,000001171
919,49,5,000001171,000001169
920,49,6,000001169,000001167
921,49,7,000001167,000000595
922,49,8,000000595,000000593
923,49,9,000000593,000000598
924,49,10,000000598,000000328
925,49,11,000000328,000000326
926,49,12,000000326,000000599
927,49,13,000000599,000000324
928,49,14,000000324,000000318
929,49,15,000000318,000000316
930,49,16,000000316,000000314
931,49,17,000000314,000000241
932,49,18,000000241,000000243
933,49,19,000000243,000001444
934,49,20,000001444,000000245
935,49,21,000000245,000000247
936,49,22,000000247,000000269
937,49,23,000000269,000000267
938,49,24,000000267,000000300
939,49,25,000000300,000000294
940,49,26,000000294,000000201
941,49,27,000000201,000000203
942,50,1,000000361,000000726
943,50,2,000000726,000000728
944,50,3,000000728,000000730
945,50,4,000000730,000000732
946,50,5,000000732,000000734
947,50,6,000000734,000000736
948,50,7,000000736,000000738
949,50,8,000000738,000000740
950,50,9,000000740,000000742
951,50,10,000000742,000000360
952,50,11,000000360,000000597
953,50,12,000000597,000000595
954,50,13,000000595,000000593
955,50,14,000000593,000000598
956,50,15,000000598,000000328
957,50,16,000000328,000000326
958,50,17,000000326,000000599
959,50,18,000000599,000000324
960,50,19,000000324,000000318
961,50,20,000000318,000000601
962,50,21,000000601,000000591
963,50,22,000000591,000000479
964,50,23,000000479,000000488
965,50,24,000000488,000001162
966,50,25,000001162,000001164
967,50,26,000001164,000000481
968,50,27,000000481,000000485
969,50,28,000000485,000000487
970,50,29,000000487,000000483
971,50,30,000000483,000001431
972,50,31,000001431,000000417
973,50,32,000000417,000000415
974,50,33,000000415,000000289
975,50,34,000000289,000000287
976,50,35,000000287,000000281
977,51,1,000000415,000000937
978,51,2,000000937,000000370
979,51,3,000000370,000000585
980,51,4,000000585,100000131
981,51,5,100000131,000000277
982,51,6,000000277,000000189
983,51,7,000000189,000000178
984,52,1,000000399,000000398
985,52,2,000000398,000000396
986,52,3,000000396,000000783
987,52,4,000000783,000000394
988,52,5,000000394,000000392
989,52,6,000000392,000000390
990,52,7,000000390,000000388
991,52,8,000000388,000000386
992,52,9,000000386,000000384
993,52,10,000000384,000000382
994,52,11,000000382,000001402
995,52,12,000001402,000000380
996,52,13,000000380,000000378
997,52,14,000000378,000000376
998,52,15,000000376,000000374
999,52,16,000000374,000000414
1000,52,17,000000414,000000416
1001,52,18,000000416,000000306
1002,52,19,000000306,000000270
1003,52,20,000000270,000000257
1004,52,21,000000257,000000260
1005,52,22,000000260,000000215
1006,52,23,000000215,000000214
1007,52,24,000000214,000000212
1008,52,25,000000212,000000210
1009,53,1,000000380,000000378
1010,53,2,000000378,000000376
1011,53,3,000000376,000000374
1012,53,4,000000374,000000401
1013,53,5,000000401,000000406
1014,53,6,000000406,000001445
1015,53,7,000001445,000000773
1016,53,8,000000773,000000771
1017,53,9,000000771,000000546
1018,53,10,000000546,000000544
1019,53,11,000000544,000001337
1020,53,12,000001337,000000541
1021,53,13,000000541,000000539
1022,53,14,000000539,000000535
1023,53,15,000000535,000000532
1024,53,16,000000532,000001464
1025,54,1,000000335,000001296
1026,54,2,000001296,000000333
1027,54,3,000000333,000000331
1028,54,4,000000331,000001258
